"id","report_date","period_date","hw","units"
"1999-01-17_DC","1999-01-17",7,"DC",27439
"1999-01-17_N64","1999-01-17",7,"N64",17914
"1999-01-17_NeoGeoP","1999-01-17",7,"NeoGeoP",2014
"1999-01-24_PKS","1999-01-24",7,"PKS",64340
"1999-01-24_PS","1999-01-24",7,"PS",45308
"1999-01-24_GB","1999-01-24",7,"GB",58827
"1999-01-24_DC","1999-01-24",7,"DC",22788
"1999-01-24_N64","1999-01-24",7,"N64",14547
"1999-01-24_NeoGeoP","1999-01-24",7,"NeoGeoP",1275
"1999-01-31_PS","1999-01-31",7,"PS",56471
"1999-01-31_DC","1999-01-31",7,"DC",37249
"1999-01-31_GB","1999-01-31",7,"GB",46854
"1999-01-31_PKS","1999-01-31",7,"PKS",21776
"1999-01-31_N64","1999-01-31",7,"N64",15189
"1999-01-31_NeoGeoP","1999-01-31",7,"NeoGeoP",874
"1999-02-07_PS","1999-02-07",7,"PS",60266
"1999-02-07_PKS","1999-02-07",7,"PKS",29533
"1999-02-07_GB","1999-02-07",7,"GB",38348
"1999-02-07_DC","1999-02-07",7,"DC",20327
"1999-02-07_N64","1999-02-07",7,"N64",11902
"1999-02-07_NeoGeoP","1999-02-07",7,"NeoGeoP",879
"1999-02-14_PS","1999-02-14",7,"PS",74300
"1999-02-14_GB","1999-02-14",7,"GB",39090
"1999-02-14_PKS","1999-02-14",7,"PKS",19217
"1999-02-14_DC","1999-02-14",7,"DC",15160
"1999-02-14_N64","1999-02-14",7,"N64",12341
"1999-02-14_NeoGeoP","1999-02-14",7,"NeoGeoP",588
"1999-02-28_PS","1999-02-28",7,"PS",105677
"1999-02-28_PKS","1999-02-28",7,"PKS",104817
"1999-02-28_GB","1999-02-28",7,"GB",52390
"1999-02-28_DC","1999-02-28",7,"DC",22797
"1999-02-28_N64","1999-02-28",7,"N64",19109
"1999-02-28_NeoGeoP","1999-02-28",7,"NeoGeoP",764
"1999-03-07_WS","1999-03-07",7,"WS",102655
"1999-03-07_PKS","1999-03-07",7,"PKS",50618
"1999-03-07_PS","1999-03-07",7,"PS",48147
"1999-03-07_GB","1999-03-07",7,"GB",26972
"1999-03-07_DC","1999-03-07",7,"DC",13362
"1999-03-07_N64","1999-03-07",7,"N64",10612
"1999-03-07_NeoGeoP","1999-03-07",7,"NeoGeoP",589
"1999-03-14_PKS","1999-03-14",7,"PKS",57386
"1999-03-14_WS","1999-03-14",7,"WS",51357
"1999-03-14_PS","1999-03-14",7,"PS",40040
"1999-03-14_GB","1999-03-14",7,"GB",36610
"1999-03-14_N64","1999-03-14",7,"N64",12612
"1999-03-14_DC","1999-03-14",7,"DC",9232
"1999-03-14_NeoGeoP","1999-03-14",7,"NeoGeoP",294
"1999-03-21_PKS","1999-03-21",7,"PKS",52431
"1999-03-21_PS","1999-03-21",7,"PS",51883
"1999-03-21_GB","1999-03-21",7,"GB",31294
"1999-03-21_WS","1999-03-21",7,"WS",23192
"1999-03-21_NeoGeoP","1999-03-21",7,"NeoGeoP",18809
"1999-03-21_N64","1999-03-21",7,"N64",17681
"1999-03-21_DC","1999-03-21",7,"DC",8952
"1999-03-28_PS","1999-03-28",7,"PS",47454
"1999-03-28_PKS","1999-03-28",7,"PKS",41348
"1999-03-28_GB","1999-03-28",7,"GB",40726
"1999-03-28_WS","1999-03-28",7,"WS",31868
"1999-03-28_N64","1999-03-28",7,"N64",23242
"1999-03-28_DC","1999-03-28",7,"DC",16657
"1999-03-28_NeoGeoP","1999-03-28",7,"NeoGeoP",6874
"1999-04-04_PS","1999-04-04",7,"PS",43547
"1999-04-04_PKS","1999-04-04",7,"PKS",34390
"1999-04-04_GB","1999-04-04",7,"GB",40738
"1999-04-04_WS","1999-04-04",7,"WS",24864
"1999-04-04_N64","1999-04-04",7,"N64",17098
"1999-04-04_DC","1999-04-04",7,"DC",14675
"1999-04-04_NeoGeoP","1999-04-04",7,"NeoGeoP",4464
"1999-04-11_PKS","1999-04-11",7,"PKS",46705
"1999-04-11_PS","1999-04-11",7,"PS",36288
"1999-04-11_GB","1999-04-11",7,"GB",32870
"1999-04-11_WS","1999-04-11",7,"WS",15599
"1999-04-11_DC","1999-04-11",7,"DC",13348
"1999-04-11_N64","1999-04-11",7,"N64",12129
"1999-04-11_NeoGeoP","1999-04-11",7,"NeoGeoP",2957
"1999-04-18_PKS","1999-04-18",7,"PKS",67061
"1999-04-18_PS","1999-04-18",7,"PS",29360
"1999-04-18_GB","1999-04-18",7,"GB",26770
"1999-04-18_N64","1999-04-18",7,"N64",10296
"1999-04-18_WS","1999-04-18",7,"WS",10054
"1999-04-18_DC","1999-04-18",7,"DC",6747
"1999-04-18_NeoGeoP","1999-04-18",7,"NeoGeoP",4378
"1999-05-02_PKS","1999-05-02",14,"PKS",102847
"1999-05-02_GB","1999-05-02",14,"GB",84613
"1999-05-02_PS","1999-05-02",14,"PS",71411
"1999-05-02_WS","1999-05-02",14,"WS",41908
"1999-05-02_N64","1999-05-02",14,"N64",29943
"1999-05-02_DC","1999-05-02",14,"DC",14882
"1999-05-02_NeoGeoP","1999-05-02",14,"NeoGeoP",7449
"1999-05-09_GB","1999-05-09",7,"GB",62515
"1999-05-09_PS","1999-05-09",7,"PS",39929
"1999-05-09_N64","1999-05-09",7,"N64",29476
"1999-05-09_WS","1999-05-09",7,"WS",18856
"1999-05-09_PKS","1999-05-09",7,"PKS",15136
"1999-05-09_DC","1999-05-09",7,"DC",7392
"1999-05-09_NeoGeoP","1999-05-09",7,"NeoGeoP",4410
"1999-05-16_PKS","1999-05-16",7,"PKS",30726
"1999-05-16_GB","1999-05-16",7,"GB",29817
"1999-05-16_PS","1999-05-16",7,"PS",21472
"1999-05-16_WS","1999-05-16",7,"WS",10740
"1999-05-16_N64","1999-05-16",7,"N64",7606
"1999-05-16_DC","1999-05-16",7,"DC",4458
"1999-05-16_NeoGeoP","1999-05-16",7,"NeoGeoP",2353
"1999-05-23_PKS","1999-05-23",7,"PKS",29996
"1999-05-23_PS","1999-05-23",7,"PS",19128
"1999-05-23_GB","1999-05-23",7,"GB",19905
"1999-05-23_WS","1999-05-23",7,"WS",11857
"1999-05-23_N64","1999-05-23",7,"N64",5041
"1999-05-23_DC","1999-05-23",7,"DC",3344
"1999-05-23_NeoGeoP","1999-05-23",7,"NeoGeoP",1652
"1999-05-30_PKS","1999-05-30",7,"PKS",29419
"1999-05-30_PS","1999-05-30",7,"PS",26245
"1999-05-30_GB","1999-05-30",7,"GB",21518
"1999-05-30_WS","1999-05-30",7,"WS",12980
"1999-05-30_N64","1999-05-30",7,"N64",8697
"1999-05-30_DC","1999-05-30",7,"DC",4743
"1999-05-30_NeoGeoP","1999-05-30",7,"NeoGeoP",2199
"1999-06-06_PKS","1999-06-06",7,"PKS",25377
"1999-06-06_PS","1999-06-06",7,"PS",22834
"1999-06-06_GB","1999-06-06",7,"GB",22471
"1999-06-06_WS","1999-06-06",7,"WS",15052
"1999-06-06_N64","1999-06-06",7,"N64",5775
"1999-06-06_DC","1999-06-06",7,"DC",2567
"1999-06-06_NeoGeoP","1999-06-06",7,"NeoGeoP",1763
"1999-06-13_PKS","1999-06-13",7,"PKS",27344
"1999-06-13_PS","1999-06-13",7,"PS",19220
"1999-06-13_GB","1999-06-13",7,"GB",14670
"1999-06-13_WS","1999-06-13",7,"WS",11053
"1999-06-13_N64","1999-06-13",7,"N64",10174
"1999-06-13_NeoGeoP","1999-06-13",7,"NeoGeoP",1447
"1999-06-13_DC","1999-06-13",7,"DC",676
"1999-06-20_PKS","1999-06-20",7,"PKS",31833
"1999-06-20_PS","1999-06-20",7,"PS",19435
"1999-06-20_GB","1999-06-20",7,"GB",20903
"1999-06-20_N64","1999-06-20",7,"N64",9280
"1999-06-20_WS","1999-06-20",7,"WS",8889
"1999-06-20_NeoGeoP","1999-06-20",7,"NeoGeoP",1953
"1999-06-20_DC","1999-06-20",7,"DC",479
"1999-06-27_DC","1999-06-27",7,"DC",45058
"1999-06-27_PKS","1999-06-27",7,"PKS",30077
"1999-06-27_PS","1999-06-27",7,"PS",26392
"1999-06-27_GB","1999-06-27",7,"GB",17043
"1999-06-27_N64","1999-06-27",7,"N64",9412
"1999-06-27_WS","1999-06-27",7,"WS",7369
"1999-06-27_NeoGeoP","1999-06-27",7,"NeoGeoP",2208
"1999-07-04_PKS","1999-07-04",7,"PKS",37587
"1999-07-04_PS","1999-07-04",7,"PS",33946
"1999-07-04_DC","1999-07-04",7,"DC",25249
"1999-07-04_GB","1999-07-04",7,"GB",18546
"1999-07-04_WS","1999-07-04",7,"WS",9954
"1999-07-04_N64","1999-07-04",7,"N64",9471
"1999-07-04_NeoGeoP","1999-07-04",7,"NeoGeoP",1320
"1999-07-11_PS","1999-07-11",7,"PS",32601
"1999-07-11_GB","1999-07-11",7,"GB",29085
"1999-07-11_PKS","1999-07-11",7,"PKS",27019
"1999-07-11_DC","1999-07-11",7,"DC",20741
"1999-07-11_N64","1999-07-11",7,"N64",11246
"1999-07-11_WS","1999-07-11",7,"WS",9943
"1999-07-11_NeoGeoP","1999-07-11",7,"NeoGeoP",1457
"1999-07-18_PKS","1999-07-18",7,"PKS",48382
"1999-07-18_PS","1999-07-18",7,"PS",33633
"1999-07-18_GB","1999-07-18",7,"GB",26565
"1999-07-18_DC","1999-07-18",7,"DC",17939
"1999-07-18_N64","1999-07-18",7,"N64",17414
"1999-07-18_WS","1999-07-18",7,"WS",6884
"1999-07-18_NeoGeoP","1999-07-18",7,"NeoGeoP",1581
"1999-07-25_PKS","1999-07-25",7,"PKS",102155
"1999-07-25_PS","1999-07-25",7,"PS",37650
"1999-07-25_GB","1999-07-25",7,"GB",36418
"1999-07-25_DC","1999-07-25",7,"DC",16531
"1999-07-25_WS","1999-07-25",7,"WS",15913
"1999-07-25_N64","1999-07-25",7,"N64",14889
"1999-07-25_NeoGeoP","1999-07-25",7,"NeoGeoP",1691
"1999-08-01_PKS","1999-08-01",7,"PKS",97303
"1999-08-01_GB","1999-08-01",7,"GB",37199
"1999-08-01_PS","1999-08-01",7,"PS",24949
"1999-08-01_DC","1999-08-01",7,"DC",19960
"1999-08-01_WS","1999-08-01",7,"WS",15165
"1999-08-01_N64","1999-08-01",7,"N64",10006
"1999-08-01_NeoGeoP","1999-08-01",7,"NeoGeoP",1534
"1999-08-15_PS","1999-08-15",14,"PS",78434
"1999-08-15_DC","1999-08-15",14,"DC",78108
"1999-08-15_N64","1999-08-15",14,"N64",34395
"1999-08-15_GB","1999-08-15",14,"GB",112412
"1999-08-15_NeoGeoP","1999-08-15",14,"NeoGeoP",3060
"1999-08-15_WS","1999-08-15",14,"WS",48383
"1999-08-15_PKS","1999-08-15",14,"PKS",186873
"1999-08-22_PS","1999-08-22",7,"PS",33267
"1999-08-22_DC","1999-08-22",7,"DC",22944
"1999-08-22_N64","1999-08-22",7,"N64",13134
"1999-08-22_GB","1999-08-22",7,"GB",51318
"1999-08-22_NeoGeoP","1999-08-22",7,"NeoGeoP",1739
"1999-08-22_WS","1999-08-22",7,"WS",17385
"1999-08-22_PKS","1999-08-22",7,"PKS",94501
"1999-08-29_PS","1999-08-29",7,"PS",23719
"1999-08-29_DC","1999-08-29",7,"DC",27652
"1999-08-29_N64","1999-08-29",7,"N64",8477
"1999-08-29_GB","1999-08-29",7,"GB",32523
"1999-08-29_NeoGeoP","1999-08-29",7,"NeoGeoP",1251
"1999-08-29_WS","1999-08-29",7,"WS",12706
"1999-08-29_PKS","1999-08-29",7,"PKS",80119
"1999-09-05_PS","1999-09-05",7,"PS",27125
"1999-09-05_DC","1999-09-05",7,"DC",26453
"1999-09-05_N64","1999-09-05",7,"N64",7157
"1999-09-05_GB","1999-09-05",7,"GB",30778
"1999-09-05_NeoGeoP","1999-09-05",7,"NeoGeoP",1216
"1999-09-05_WS","1999-09-05",7,"WS",10959
"1999-09-05_PKS","1999-09-05",7,"PKS",79918
"1999-09-19_PS","1999-09-19",7,"PS",22022
"1999-09-19_DC","1999-09-19",7,"DC",15284
"1999-09-19_N64","1999-09-19",7,"N64",6011
"1999-09-19_GB","1999-09-19",7,"GB",27067
"1999-09-19_NeoGeoP","1999-09-19",7,"NeoGeoP",671
"1999-09-19_WS","1999-09-19",7,"WS",7764
"1999-09-19_PKS","1999-09-19",7,"PKS",74235
"1999-09-26_PS","1999-09-26",7,"PS",25996
"1999-09-26_DC","1999-09-26",7,"DC",16569
"1999-09-26_N64","1999-09-26",7,"N64",5271
"1999-09-26_GB","1999-09-26",7,"GB",32429
"1999-09-26_NeoGeoP","1999-09-26",7,"NeoGeoP",526
"1999-09-26_WS","1999-09-26",7,"WS",6050
"1999-09-26_PKS","1999-09-26",7,"PKS",77811
"1999-10-03_PS","1999-10-03",7,"PS",21442
"1999-10-03_DC","1999-10-03",7,"DC",32354
"1999-10-03_N64","1999-10-03",7,"N64",5173
"1999-10-03_GB","1999-10-03",7,"GB",41741
"1999-10-03_NeoGeoP","1999-10-03",7,"NeoGeoP",174
"1999-10-03_WS","1999-10-03",7,"WS",5054
"1999-10-03_PKS","1999-10-03",7,"PKS",81518
"1999-10-10_PS","1999-10-10",7,"PS",17169
"1999-10-10_DC","1999-10-10",7,"DC",16519
"1999-10-10_N64","1999-10-10",7,"N64",5229
"1999-10-10_GB","1999-10-10",7,"GB",31884
"1999-10-10_NeoGeoP","1999-10-10",7,"NeoGeoP",57
"1999-10-10_WS","1999-10-10",7,"WS",5082
"1999-10-10_PKS","1999-10-10",7,"PKS",58602
"1999-10-17_PS","1999-10-17",7,"PS",16828
"1999-10-17_DC","1999-10-17",7,"DC",13308
"1999-10-17_N64","1999-10-17",7,"N64",5724
"1999-10-17_GB","1999-10-17",7,"GB",35951
"1999-10-17_NeoGeoP","1999-10-17",7,"NeoGeoP",54
"1999-10-17_WS","1999-10-17",7,"WS",4007
"1999-10-17_PKS","1999-10-17",7,"PKS",55929
"1999-10-24_PS","1999-10-24",7,"PS",14868
"1999-10-24_DC","1999-10-24",7,"DC",9558
"1999-10-24_N64","1999-10-24",7,"N64",5608
"1999-10-24_GB","1999-10-24",7,"GB",34327
"1999-10-24_NeoGeoP","1999-10-24",7,"NeoGeoP",13198
"1999-10-24_WS","1999-10-24",7,"WS",4962
"1999-10-24_PKS","1999-10-24",7,"PKS",60629
"1999-10-31_PS","1999-10-31",7,"PS",15238
"1999-10-31_DC","1999-10-31",7,"DC",13426
"1999-10-31_N64","1999-10-31",7,"N64",6267
"1999-10-31_GB","1999-10-31",7,"GB",38399
"1999-10-31_NeoGeoP","1999-10-31",7,"NeoGeoP",6837
"1999-10-31_WS","1999-10-31",7,"WS",3979
"1999-10-31_PKS","1999-10-31",7,"PKS",58804
"1999-11-07_PS","1999-11-07",7,"PS",14000
"1999-11-07_DC","1999-11-07",7,"DC",12846
"1999-11-07_N64","1999-11-07",7,"N64",6581
"1999-11-07_GB","1999-11-07",7,"GB",34370
"1999-11-07_NeoGeoP","1999-11-07",7,"NeoGeoP",3897
"1999-11-07_WS","1999-11-07",7,"WS",2813
"1999-11-07_PKS","1999-11-07",7,"PKS",43781
"1999-11-14_PS","1999-11-14",7,"PS",13346
"1999-11-14_DC","1999-11-14",7,"DC",11530
"1999-11-14_N64","1999-11-14",7,"N64",4498
"1999-11-14_GB","1999-11-14",7,"GB",28371
"1999-11-14_WS","1999-11-14",7,"WS",4995
"1999-11-14_NeoGeoP","1999-11-14",7,"NeoGeoP",3247
"1999-11-14_PKS","1999-11-14",7,"PKS",36862
"1999-11-21_PS","1999-11-21",7,"PS",14100
"1999-11-21_DC","1999-11-21",7,"DC",9253
"1999-11-21_N64","1999-11-21",7,"N64",5629
"1999-11-21_GB","1999-11-21",7,"GB",73672
"1999-11-21_NeoGeoP","1999-11-21",7,"NeoGeoP",3937
"1999-11-21_WS","1999-11-21",7,"WS",2449
"1999-11-21_PKS","1999-11-21",7,"PKS",32404
"1999-11-28_PS","1999-11-28",7,"PS",17057
"1999-11-28_DC","1999-11-28",7,"DC",14879
"1999-11-28_N64","1999-11-28",7,"N64",8494
"1999-11-28_GB","1999-11-28",7,"GB",82401
"1999-11-28_NeoGeoP","1999-11-28",7,"NeoGeoP",1850
"1999-11-28_WS","1999-11-28",7,"WS",6837
"1999-11-28_PKS","1999-11-28",7,"PKS",44666
"1999-12-05_PS","1999-12-05",7,"PS",17221
"1999-12-05_DC","1999-12-05",7,"DC",18902
"1999-12-05_N64","1999-12-05",7,"N64",7659
"1999-12-05_GB","1999-12-05",7,"GB",78958
"1999-12-05_NeoGeoP","1999-12-05",7,"NeoGeoP",5710
"1999-12-05_WS","1999-12-05",7,"WS",1954
"1999-12-05_PKS","1999-12-05",7,"PKS",71989
"1999-12-12_PS","1999-12-12",7,"PS",31788
"1999-12-12_DC","1999-12-12",7,"DC",21067
"1999-12-12_N64","1999-12-12",7,"N64",19451
"1999-12-12_GB","1999-12-12",7,"GB",115832
"1999-12-12_NeoGeoP","1999-12-12",7,"NeoGeoP",1769
"1999-12-12_WS","1999-12-12",7,"WS",16678
"1999-12-12_PKS","1999-12-12",7,"PKS",80470
"1999-12-19_PS","1999-12-19",7,"PS",47721
"1999-12-19_DC","1999-12-19",7,"DC",27062
"1999-12-19_N64","1999-12-19",7,"N64",26041
"1999-12-19_GB","1999-12-19",7,"GB",162643
"1999-12-19_NeoGeoP","1999-12-19",7,"NeoGeoP",2148
"1999-12-19_WS","1999-12-19",7,"WS",24354
"2000-01-02_PS","2000-01-02",14,"PS",110131
"2000-01-02_DC","2000-01-02",14,"DC",83779
"2000-01-02_N64","2000-01-02",14,"N64",62741
"2000-01-02_GB","2000-01-02",14,"GB",350915
"2000-01-02_NeoGeoP","2000-01-02",14,"NeoGeoP",14187
"2000-01-02_WS","2000-01-02",14,"WS",68381
"2000-01-02_PKS","2000-01-02",14,"PKS",211803
"2000-01-09_PS","2000-01-09",7,"PS",39974
"2000-01-09_DC","2000-01-09",7,"DC",39666
"2000-01-09_N64","2000-01-09",7,"N64",20501
"2000-01-09_GB","2000-01-09",7,"GB",16929
"2000-01-09_NeoGeoP","2000-01-09",7,"NeoGeoP",7657
"2000-01-09_WS","2000-01-09",7,"WS",14456
"2000-01-09_PKS","2000-01-09",7,"PKS",93580
"2000-01-16_PS","2000-01-16",7,"PS",23117
"2000-01-16_DC","2000-01-16",7,"DC",16912
"2000-01-16_N64","2000-01-16",7,"N64",6401
"2000-01-16_GB","2000-01-16",7,"GB",38107
"2000-01-16_NeoGeoP","2000-01-16",7,"NeoGeoP",4648
"2000-01-16_WS","2000-01-16",7,"WS",6664
"2000-01-16_PKS","2000-01-16",7,"PKS",50587
"2000-01-23_PS","2000-01-23",7,"PS",15269
"2000-01-23_DC","2000-01-23",7,"DC",12813
"2000-01-23_N64","2000-01-23",7,"N64",5368
"2000-01-23_GB","2000-01-23",7,"GB",49516
"2000-01-23_NeoGeoP","2000-01-23",7,"NeoGeoP",3795
"2000-01-23_WS","2000-01-23",7,"WS",7263
"2000-01-23_PKS","2000-01-23",7,"PKS",37509
"2000-01-30_PS","2000-01-30",7,"PS",12834
"2000-01-30_DC","2000-01-30",7,"DC",12718
"2000-01-30_N64","2000-01-30",7,"N64",5072
"2000-01-30_GB","2000-01-30",7,"GB",63990
"2000-01-30_NeoGeoP","2000-01-30",7,"NeoGeoP",4488
"2000-01-30_WS","2000-01-30",7,"WS",7626
"2000-01-30_PKS","2000-01-30",7,"PKS",39951
"2000-02-06_PS","2000-02-06",7,"PS",9883
"2000-02-06_DC","2000-02-06",7,"DC",18957
"2000-02-06_N64","2000-02-06",7,"N64",3197
"2000-02-06_GB","2000-02-06",7,"GB",91490
"2000-02-06_NeoGeoP","2000-02-06",7,"NeoGeoP",4110
"2000-02-06_WS","2000-02-06",7,"WS",5549
"2000-02-06_PKS","2000-02-06",7,"PKS",29986
"2000-02-13_PS","2000-02-13",7,"PS",8801
"2000-02-13_DC","2000-02-13",7,"DC",12794
"2000-02-13_N64","2000-02-13",7,"N64",3695
"2000-02-13_GB","2000-02-13",7,"GB",58307
"2000-02-13_NeoGeoP","2000-02-13",7,"NeoGeoP",4386
"2000-02-13_WS","2000-02-13",7,"WS",5966
"2000-02-13_PKS","2000-02-13",7,"PKS",26972
"2000-02-20_PS","2000-02-20",7,"PS",6237
"2000-02-20_DC","2000-02-20",7,"DC",9948
"2000-02-20_N64","2000-02-20",7,"N64",3016
"2000-02-20_GB","2000-02-20",7,"GB",60771
"2000-02-20_NeoGeoP","2000-02-20",7,"NeoGeoP",3283
"2000-02-20_WS","2000-02-20",7,"WS",4303
"2000-02-20_PKS","2000-02-20",7,"PKS",19904
"2000-02-27_PS","2000-02-27",7,"PS",5733
"2000-02-27_DC","2000-02-27",7,"DC",8983
"2000-02-27_N64","2000-02-27",7,"N64",3003
"2000-02-27_GB","2000-02-27",7,"GB",62361
"2000-02-27_NeoGeoP","2000-02-27",7,"NeoGeoP",2613
"2000-02-27_WS","2000-02-27",7,"WS",7555
"2000-02-27_PKS","2000-02-27",7,"PKS",18841
"2000-03-05_PS","2000-03-05",7,"PS",4593
"2000-03-05_PS2","2000-03-05",7,"PS2",630552
"2000-03-05_DC","2000-03-05",7,"DC",8256
"2000-03-05_N64","2000-03-05",7,"N64",3036
"2000-03-05_GB","2000-03-05",7,"GB",51133
"2000-03-05_NeoGeoP","2000-03-05",7,"NeoGeoP",2991
"2000-03-05_WS","2000-03-05",7,"WS",5076
"2000-03-05_PKS","2000-03-05",7,"PKS",16410
"2000-03-12_PS","2000-03-12",7,"PS",4455
"2000-03-12_PS2","2000-03-12",7,"PS2",154245
"2000-03-12_DC","2000-03-12",7,"DC",7164
"2000-03-12_N64","2000-03-12",7,"N64",2874
"2000-03-12_GB","2000-03-12",7,"GB",49903
"2000-03-12_NeoGeoP","2000-03-12",7,"NeoGeoP",2441
"2000-03-12_WS","2000-03-12",7,"WS",4644
"2000-03-12_PKS","2000-03-12",7,"PKS",17505
"2000-03-19_PS","2000-03-19",7,"PS",4937
"2000-03-19_PS2","2000-03-19",7,"PS2",71780
"2000-03-19_DC","2000-03-19",7,"DC",7080
"2000-03-19_N64","2000-03-19",7,"N64",2921
"2000-03-19_GB","2000-03-19",7,"GB",52374
"2000-03-19_NeoGeoP","2000-03-19",7,"NeoGeoP",2961
"2000-03-19_WS","2000-03-19",7,"WS",4753
"2000-03-19_PKS","2000-03-19",7,"PKS",15819
"2000-03-26_PS","2000-03-26",7,"PS",52445
"2000-03-26_PS2","2000-03-26",7,"PS2",112620
"2000-03-26_DC","2000-03-26",7,"DC",8561
"2000-03-26_N64","2000-03-26",7,"N64",4016
"2000-03-26_GB","2000-03-26",7,"GB",57380
"2000-03-26_NeoGeoP","2000-03-26",7,"NeoGeoP",3674
"2000-03-26_WS","2000-03-26",7,"WS",9921
"2000-03-26_PKS","2000-03-26",7,"PKS",18194
"2000-04-02_PS","2000-04-02",7,"PS",3932
"2000-04-02_PS2","2000-04-02",7,"PS2",165685
"2000-04-02_DC","2000-04-02",7,"DC",8603
"2000-04-02_N64","2000-04-02",7,"N64",5340
"2000-04-02_GB","2000-04-02",7,"GB",48213
"2000-04-02_NeoGeoP","2000-04-02",7,"NeoGeoP",2633
"2000-04-02_WS","2000-04-02",7,"WS",5278
"2000-04-02_PKS","2000-04-02",7,"PKS",17593
"2000-04-09_PS","2000-04-09",7,"PS",3790
"2000-04-09_PS2","2000-04-09",7,"PS2",119430
"2000-04-09_DC","2000-04-09",7,"DC",6742
"2000-04-09_N64","2000-04-09",7,"N64",3365
"2000-04-09_GB","2000-04-09",7,"GB",37117
"2000-04-09_NeoGeoP","2000-04-09",7,"NeoGeoP",2474
"2000-04-09_WS","2000-04-09",7,"WS",5176
"2000-04-09_PKS","2000-04-09",7,"PKS",14237
"2000-04-16_PS","2000-04-16",7,"PS",3526
"2000-04-16_PS2","2000-04-16",7,"PS2",75704
"2000-04-16_DC","2000-04-16",7,"DC",6840
"2000-04-16_N64","2000-04-16",7,"N64",3399
"2000-04-16_GB","2000-04-16",7,"GB",30476
"2000-04-16_NeoGeoP","2000-04-16",7,"NeoGeoP",2337
"2000-04-16_WS","2000-04-16",7,"WS",3203
"2000-04-16_PKS","2000-04-16",7,"PKS",17618
"2000-04-23_PS","2000-04-23",7,"PS",3364
